Casilla;X;Y;Access Point;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
1;10;190;AP0;-56;-55;-57;-57;-56;-58;-57;-57;-56;-56;-56;-56;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-56;-56;-57;-57;-57;-57;-56;-56;-57;-57;-56;-56;-56;-56;-56;-56;-57;-57;-57;-57;-57;-57;-56;-55;-55;-55;-56;-56;-56;-56;-56;-55;-55;-56;-56;-57;-57;-56;-56;-56;-56;-56;-56;-57;-57;-57;-57;-57;-56;-56;-56;-56;-56;-57;-57;-57;-55;-55;-56;-56;-56;-56;-57;-57;-56;-57;-56;-56;-56;-58;-57;-57;-57;-57;-57;-57;-57;-57
1;10;190;AP1;-74;-74;-74;-74;-72;-72;-72;-70;-70;-69;-69;-69;-71;-71;-71;-71;-70;-72;-72;-72;-72;-68;-68;-70;-70;-70;-70;-70;-70;-69;-70;-70;-69;-69;-72;-73;-73;-73;-73;-73;-68;-72;-71;-71;-71;-71;-71;-70;-70;-70;-70;-71;-71;-72;-72;-72;-71;-70;-70;-70;-70;-70;-69;-71;-71;-71;-71;-72;-71;-65;-67;-67;-67;-72;-72;-72;-72;-73;-72;-72;-71;-71;-72;-72;-71;-71;-73;-73;-71;-71;-71;-71;-73;-73;-73;-73;-73;-73;-73;-72
1;10;190;AP2;-69;-69;-69;-69;-71;-71;-71;-71;-70;-70;-70;-70;-70;-70;-70;-67;-67;-67;-67;-69;-69;-70;-70;-70;-70;-71;-71;-71;-71;-71;-66;-69;-69;-70;-65;-68;-69;-70;-70;-70;-70;-70;-70;-64;-64;-69;-69;-71;-71;-71;-71;-71;-71;-65;-65;-65;-65;-69;-69;-69;-70;-70;-69;-69;-68;-68;-69;-69;-69;-70;-71;-70;-70;-70;-69;-69;-69;-69;-69;-70;-69;-69;-69;-69;-69;-70;-70;-70;-70;-69;-69;-69;-69;-69;-69;-69;-69;-69;-68;-68
2;30;190;AP0;-54;-54;-54;-55;-54;-53;-53;-53;-53;-53;-53;-54;-54;-54;-55;-55;-55;-54;-53;-53;-53;-53;-55;-55;-55;-55;-55;-54;-55;-55;-55;-55;-54;-54;-53;-54;-54;-54;-55;-54;-54;-54;-54;-53;-53;-54;-54;-54;-53;-53;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-53;-53;-53;-53;-53;-53;-54;-54;-54;-54;-54;-54;-53;-54;-54;-54;-54;-54;-53;-54;-54;-54;-53;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-53;-54;-54;-54;-54;-53
2;30;190;AP1;-54;-54;-55;-55;-55;-54;-54;-55;-55;-56;-56;-56;-56;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-54;-55;-55;-55;-55;-56;-55;-55;-55;-55;-56;-55;-55;-54;-55;-55;-56;-56;-54;-54;-54;-54;-54;-55;-55;-54;-54;-54;-55;-55;-55;-55;-55;-55;-55;-54;-55;-54;-54;-54;-54;-54;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-56;-56;-54;-54;-55;-55;-55;-55;-55;-54;-55;-55;-56;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55
2;30;190;AP2;-59;-59;-59;-59;-59;-60;-60;-60;-60;-59;-60;-60;-59;-59;-60;-60;-60;-59;-60;-60;-60;-60;-62;-60;-60;-60;-60;-59;-60;-60;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-60;-60;-59;-59;-59;-60;-59;-59;-60;-60;-59;-60;-59;-59;-59;-61;-59;-60;-60;-60;-61;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-59;-59;-59;-60;-60;-60;-60;-59;-61;-61;-59;-61;-60;-60;-60;-59;-60
3;50;190;AP0;-62;-63;-63;-63;-63;-61;-62;-62;-62;-63;-64;-64;-62;-62;-62;-62;-62;-62;-61;-61;-62;-61;-61;-63;-63;-61;-63;-62;-62;-62;-62;-62;-63;-63;-61;-61;-61;-67;-67;-67;-67;-67;-62;-62;-63;-63;-63;-62;-62;-62;-62;-62;-62;-62;-62;-62;-63;-63;-63;-62;-62;-62;-62;-63;-63;-62;-63;-63;-63;-63;-62;-62;-63;-63;-62;-62;-62;-62;-62;-62;-63;-63;-61;-63;-63;-63;-57;-61;-63;-63;-63;-63;-63;-60;-60;-62;-62;-63;-63;-63
3;50;190;AP1;-61;-62;-62;-63;-63;-62;-62;-62;-62;-63;-63;-63;-63;-63;-61;-61;-61;-63;-64;-64;-63;-61;-62;-62;-62;-62;-63;-63;-64;-64;-61;-61;-61;-62;-62;-64;-64;-62;-62;-62;-63;-64;-64;-64;-63;-63;-63;-63;-63;-63;-64;-62;-62;-62;-62;-62;-63;-63;-63;-62;-62;-62;-64;-63;-63;-63;-63;-63;-63;-63;-63;-63;-64;-64;-64;-64;-64;-64;-63;-63;-63;-63;-64;-64;-63;-63;-63;-63;-63;-63;-64;-64;-64;-64;-64;-64;-64;-65;-63;-62
3;50;190;AP2;-67;-67;-65;-65;-65;-67;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-67;-67;-66;-66;-68;-68;-66;-66;-67;-67;-67;-67;-67;-68;-68;-68;-68;-67;-67;-67;-67;-66;-66;-69;-67;-67;-67;-67;-69;-69;-68;-68;-68;-66;-66;-66;-66;-66;-66;-67;-67;-67;-67;-68;-66;-67;-67;-67;-67;-67;-67;-68;-66;-66;-66;-66;-65;-69;-69;-69;-66;-65;-66;-66;-66;-66;-66;-66;-66;-67;-67;-67;-67;-67;-66;-66;-68;-67;-67;-67;-67
4;70;190;AP0;-51;-52;-52;-51;-51;-52;-52;-52;-51;-51;-51;-51;-51;-51;-52;-52;-52;-52;-52;-52;-52;-52;-51;-52;-53;-53;-51;-51;-53;-53;-51;-51;-51;-52;-51;-53;-53;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-52;-52;-52;-52;-51;-51;-52;-52;-53;-53;-53;-52;-52;-52;-53;-51;-51;-51;-51;-52;-52;-52;-52;-52;-52;-51;-51;-52;-51;-51;-52;-52;-52;-52;-51;-51;-50;-50;-50;-50;-52;-52;-52;-52;-52;-52;-52;-52;-52;-52;-52;-53
